source_image,target_image,pose_error_norm,pose_best_output,expression_sim,expression_best_output,id_similarity,id_best_output,valid_outputs,total_outputs
/storage/users/multicog/mehul/RealismGuidance/data/source/08193.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/00451.jpg,0.0642,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/08193__00451/n08/img/08193__00451__final__s05.png,0.9796,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/08193__00451/n08/img/08193__00451__final__s01.png,0.3477,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/08193__00451/n08/img/08193__00451__final__s02.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/17834.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/25414.jpg,0.0575,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/17834__25414/n08/img/17834__25414__final__s06.png,0.9823,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/17834__25414/n08/img/17834__25414__final__s00.png,0.2752,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/17834__25414/n08/img/17834__25414__final__s07.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/01126.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/23760.jpg,0.0564,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/01126__23760/n08/img/01126__23760__final__s05.png,0.9902,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/01126__23760/n08/img/01126__23760__final__s03.png,0.6579,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/01126__23760/n08/img/01126__23760__final__s06.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/03537.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/16048.jpg,1.0,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/03537__16048/n08/img/03537__16048__final__s00.png,0.9971,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/03537__16048/n08/img/03537__16048__final__s00.png,0.4861,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/03537__16048/n08/img/03537__16048__final__s00.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/06623.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/15204.jpg,0.1322,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/06623__15204/n08/img/06623__15204__final__s05.png,0.9935,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/06623__15204/n08/img/06623__15204__final__s06.png,0.1643,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/06623__15204/n08/img/06623__15204__final__s00.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/29226.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/29685.jpg,0.1433,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/29226__29685/n08/img/29226__29685__final__s02.png,0.9891,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/29226__29685/n08/img/29226__29685__final__s04.png,0.4319,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/29226__29685/n08/img/29226__29685__final__s02.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/04975.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/11658.jpg,0.0688,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/04975__11658/n08/img/04975__11658__final__s03.png,0.9886,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/04975__11658/n08/img/04975__11658__final__s00.png,0.4661,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/04975__11658/n08/img/04975__11658__final__s06.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/00774.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/18151.jpg,0.1063,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/00774__18151/n08/img/00774__18151__final__s03.png,0.9979,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/00774__18151/n08/img/00774__18151__final__s01.png,0.4091,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/00774__18151/n08/img/00774__18151__final__s01.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/14155.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/19023.jpg,0.0372,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/14155__19023/n08/img/14155__19023__final__s00.png,0.9793,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/14155__19023/n08/img/14155__19023__final__s04.png,0.3438,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/14155__19023/n08/img/14155__19023__final__s07.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/25186.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/26571.jpg,0.0422,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/25186__26571/n08/img/25186__26571__final__s06.png,0.989,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/25186__26571/n08/img/25186__26571__final__s03.png,0.5063,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/25186__26571/n08/img/25186__26571__final__s05.png,8,8
